session_id,specialday,weekend,month_Dec,month_Feb,month_Jul,month_June,month_Mar,month_May,month_Nov,month_Oct,month_Sep,OS_1,OS_2,OS_3,browser_1,browser_4,browser_5,region_2,region_3,region_4,region_5,region_6,region_7,region_8,region_9,traffictype_1,traffictype_10,traffictype_13,traffictype_3,traffictype_4,traffictype_5,traffictype_6,traffictype_8,visitortype_New_Visitor,visitortype_Returning_Visitor,administrative,administrative_duration,informational,informational_duration,productrelated,productrelated_duration,bouncerates,exitrates,pagevalues
283149,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-0.7087535670909703,-0.5642730895093085,-0.44936108496035526,-0.3090939974628172,-0.5478374113244774,-0.4806914342647217,-0.44966553227902084,-0.575488914854971,-0.40009877438805386
253020,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-0.7087535670909703,-0.5642730895093085,-0.44936108496035526,-0.3090939974628172,-0.3869568414775044,-0.639489274275701,-0.07973161946882695,0.05401898992324402,-0.40009877438805386
348435,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,-0.7087535670909703,-0.5642730895093085,-0.44936108496035526,-0.3090939974628172,0.3025313150095226,0.3570921753062349,-0.020217145412032178,-0.324796415796005,-0.40009877438805386
299763,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.7087535670909703,-0.5642730895093085,0.3657324847119742,6.267626015778765,-0.019229824684423358,-0.3801927469937665,-0.44966553227902084,-0.5458684098701189,-0.40009877438805386
195120,0.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.7087535670909703,-0.5642730895093085,1.1808260543843039,-0.17098563935190636,-0.6857350426218828,-0.7315609860735979,3.728630169742128,3.278091201742089,-0.40009877438805386
472120,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.7087535670909703,-0.5642730895093085,-0.44936108496035526,-0.3090939974628172,0.3944630692077929,0.6479068841015861,-0.44966553227902084,-0.7504600528140847,-0.40009877438805386
170814,0.4,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.7087535670909703,-0.5642730895093085,-0.44936108496035526,-0.3090939974628172,-0.4329227185766396,-0.33613894534410277,0.2963750776052714,0.7535021736054186,-0.40009877438805386
465814,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.7087535670909703,-0.5642730895093085,-0.44936108496035526,-0.3090939974628172,-0.4559056571262072,-0.15410841720631113,0.3262472595484325,-0.11757642668038612,-0.40009877438805386
371639,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4261339135735565,-0.027763377873436204,-0.44936108496035526,-0.3090939974628172,-0.2720421487296666,-0.689533870435513,0.17707882302415137,0.018824960131267856,-0.40009877438805386
417687,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.7087535670909703,-0.5642730895093085,-0.44936108496035526,-0.3090939974628172,-0.4329227185766396,-0.538344015994929,-0.44966553227902084,-0.6298342625447723,-0.40009877438805386
164588,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.7087535670909703,-0.5642730895093085,-0.44936108496035526,-0.3090939974628172,-0.6627521040723152,-0.6552656069152283,-0.44966553227902084,-0.45691721321351003,-0.40009877438805386
253171,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.4261339135735565,-0.49029473175579075,1.9959196240566333,-0.08649582027229032,0.5783265776043334,0.5683027903038355,-0.44966553227902084,-0.7505661893032097,-0.40009877438805386
232771,0.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.7087535670909703,-0.5642730895093085,-0.44936108496035526,-0.3090939974628172,-0.3180080258288017,-0.7315609860735979,3.728630169742128,3.278091201742089,-0.40009877438805386
373889,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.7087535670909703,-0.5642730895093085,-0.44936108496035526,-0.3090939974628172,-0.6397691655227477,-0.6187343448605852,-0.44966553227902084,-0.18024993013348128,-0.40009877438805386
285994,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.4261339135735565,-0.5642730895093085,-0.44936108496035526,-0.3090939974628172,-0.2030933330809639,0.02570298062371065,-0.44966553227902084,-0.6739117193510678,2.5097445285875635
151601,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.55220366104834,0.560397889851604,4.441200333073621,5.08377471035794,-0.3869568414775044,-0.37481112091228747,-0.44966553227902084,-0.695376605211348,-0.40009877438805386
361427,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.7087535670909703,-0.5642730895093085,-0.44936108496035526,-0.3090939974628172,1.497644119587036,1.2010137436044854,-0.404276371804309,-0.4305048314565438,-0.40009877438805386
314662,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,-0.7087535670909703,-0.5642730895093085,-0.44936108496035526,-0.3090939974628172,-0.7317009197210179,-0.7315609860735979,3.728630169742128,3.278091201742089,-0.40009877438805386
180901,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.7087535670909703,-0.5642730895093085,-0.44936108496035526,-0.3090939974628172,-0.47888859567577474,-0.43316846504319495,-0.06982047225736714,0.5438733945628097,-0.40009877438805386
443403,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.2479215821528227,5.164486526871823,4.441200333073621,6.267626015778765,4.761681052396632,1.7969104953765966,-0.41918356986110894,-0.6901761039946444,-0.3231367310906759
252272,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.7087535670909703,-0.5642730895093085,-0.44936108496035526,-0.3090939974628172,0.04971899096427935,0.2989869943217557,-0.44966553227902084,-0.8477217884442969,0.01671563219513545
